rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
1,wasmz,matmul_fma,True,48907,509,539875,1575583,3890709,6867250,1653741000.0,89558000,0,1.0,3.9573116413890626,8650574608,2185972547,6275072,
1,wasmz,convolution,True,8190685,167,243458,4982542,9475709,12765291,1384641000.0,68145000,0,1.0,3.7345506999173006,6804787455,1822116769,6324224,
1,wasmz,audio_dsp,True,761667740,1,333750,1141602834,1141602834,1141602834,996578000.0,44117000,0,1.0,2.9452928865817922,3807201777,1292639450,6438912,
1,wasmz,bulk_memory,True,8698902,199,536166,5114584,10326833,16322750,1773388000.0,86942000,0,1.0,3.2895720013980987,7745902098,2354683860,6651904,
1,wasmz,call_indirect,True,-9175573,69,693667,22170417,30325375,41160042,1789270000.0,81937000,0,1.0,2.6247972594104025,6277201092,2391499408,7176192,
1,wasmz,factorial.scalar,True,-2102132736,16384,806750,3000,8000,32542,25843000.0,108679000,0,1.0,2.155272259107811,331535529,153825359,7176192,
1,wasmz,sieve.scalar,True,1229,2709,627875,261708,675459,1495208,1471033000.0,101217000,0,1.0,3.089957257777037,6054036325,1959262158,7176192,
1,wasmz,crc32.scalar,True,-1910355869,744,441042,2191500,5035875,8428000,3139534000.0,163713000,0,1.0,3.2838454188052633,14425644173,4392912069,7176192,
1,wasmz,convolution.scalar,True,8190685,154,413375,8530584,14447333,18687125,1832432000.0,91465000,0,1.0,3.368941176042009,8252827682,2449679959,7176192,
1,wasmz,bulk_memory.scalar,True,8698902,190,528542,4377417,9794916,13736042,1578493000.0,79979000,21791,1.0,3.193455147196542,6849001006,2144699296,7176192,
1,wasmz,xmrsplayer,True,1704145993,159,3616500,6305375,12032833,16779792,1632716000.0,80668000,0,1.0,2.7818495727918737,6060136854,2178455986,26247168,
1,wasmz,vtable_mono,True,-318559695,54,1140084,32744875,44584791,60602041,2050028000.0,94909000,0,1.0,3.2255439958291183,8672036539,2688550071,26247168,
1,wasmz,vtable_bi,True,-208336512,41,1340417,37761500,50522959,60192458,1805254000.0,84142000,0,1.0,3.013769915859338,7099707677,2355756370,26247168,
1,wasmz,vtable_poly4,True,-126115384,37,885833,38351125,53104834,63039542,1675308000.0,77674000,0,1.0,3.027491245582162,6699694030,2212952404,26247168,
1,wasmz,vtable_poly6,True,579248763,38,1299708,40268333,56710625,65056542,1826598000.0,84594000,0,1.0,2.876390551366261,7063487656,2455677534,26247168,
1,wasmz,graphql_as,False,,,,,,,,,,,,,,,wasmz init-warmup failed: wasmz_instance_call trap: trap: wasm `unreachable` instruction executed
1,wasmz,tailcall_fsm,True,-1841735369,368,7146458,2229750,5325875,7784000,1666861000.0,84806000,6875,1.0,2.441654311620737,5440871927,2228354727,26247168,
1,wasmz,eh_parser_exnref,True,830008030,131,597292,7671875,13889625,17383250,1602034000.0,82918000,0,1.0,2.641065664109378,5580593302,2113008161,26247168,
1,wasmz,eh_parser_legacy,True,830008030,145,727375,6862584,14692292,18501667,1840951000.0,96530000,0,1.0,2.6413431480375222,6351559510,2404670334,26247168,
1,wasmz,gc_trees,True,-81253392,36,351667,39290041,49121500,72636083,1502693000.0,137729000,25459,1.0,2.8841759608805093,6059791543,2101047795,182173696,
1,wasmz,callref_dispatch,False,,,,,,,,,,,,,,,wasmz init-warmup failed: wasmz_instance_call trap: trap: null reference dereference
1,wasmz,callref_dispatch.indirect,True,-750120562,68,576167,19112000,29131500,35082750,1684476000.0,79039000,0,1.0,2.6298999770135616,5719745975,2174891070,182173696,
1,wasmz,relaxed_dot,True,-551922832,576,539041,1426875,3586458,5637500,1693680000.0,90877000,32708,1.0,3.958319785027613,8829094343,2230515679,182173696,
1,wasmz,relaxed_madd,True,-1435646925,2199,682875,355375,914208,1926333,1580971000.0,122206000,39958,1.0,3.120796680794542,6721413261,2153749170,182173696,
