rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
2,wasm3,scalar,1,121,12.824,15.059,66.404,112.148,115.067,115.86,64.358,3.019,10.6,219.123,5.349,44122976,,6291456,8160.766,0.9951,0.958,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
3,wasm3,scalar,1,121,12.798,15.214,65.73,114.652,116.083,117.227,64.558,2.984,10.594,222.899,4.679,44254088,,6291456,8191.007,0.9952,0.955,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
4,wasm3,scalar,1,121,12.647,14.857,67.31,114.618,116.171,116.911,65.486,2.976,10.607,217.21,5.064,44139360,,6291456,8307.388,0.9953,0.941,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
5,wasm3,scalar,1,121,12.643,14.769,67.71,113.167,116.2,117.66,65.536,2.955,10.601,218.553,4.834,44155744,,6291456,8304.19,0.9953,0.942,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
6,wasm3,scalar,1,121,12.913,15.216,65.722,112.273,115.373,116.68,63.854,2.987,10.602,220.465,5.146,44090208,,6291456,8106.537,0.9952,0.965,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
7,wasm3,scalar,1,121,12.56,15.013,66.608,115.776,117.602,119.858,66.007,2.993,10.616,221.005,4.706,44024672,,6291456,8324.226,0.9952,0.939,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
8,wasm3,scalar,1,121,12.759,14.604,68.473,113.608,115.294,115.357,64.789,2.974,10.614,227.421,4.703,44155784,,6291456,8209.228,0.9952,0.952,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
9,wasm3,scalar,1,121,12.651,14.877,67.22,115.483,116.463,119.041,65.477,2.992,10.577,215.683,4.698,44122976,,6291456,8292.187,0.9953,0.943,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
1,wasmedge,simd128,0,121,1.108,1.202,832.09,1235.211,1293.713,1313.779,860.439,4.186,38.019,1090.942,119.908,67765128,,12386304,103727.918,0.9994,1.411,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
10,wasmedge,simd128,0,121,1.108,1.198,834.652,1232.636,1290.571,1313.303,860.691,4.192,37.944,1098.188,124.57,67847048,,12386304,103798.629,0.9994,1.41,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
2,wasmedge,simd128,0,121,1.107,1.201,832.449,1233.896,1294.27,1313.646,860.846,4.229,38.03,1091.742,125.988,67929008,,12386304,103775.905,0.9994,1.411,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
3,wasmedge,simd128,0,121,1.106,1.195,836.506,1234.014,1297.535,1313.277,861.225,4.218,38.32,1092.832,121.661,67814320,,12386304,103864.372,0.9994,1.409,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
4,wasmedge,simd128,0,121,1.109,1.2,833.357,1233.333,1282.85,1309.895,859.972,4.21,37.659,1099.104,121.369,67715976,,12386304,103739.954,0.9994,1.411,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
5,wasmedge,simd128,0,121,1.099,1.188,841.91,1240.409,1313.371,1327.417,867.27,4.196,38.128,1086.684,129.14,67781512,,12386304,104564.463,0.9994,1.4,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
6,wasmedge,simd128,0,121,1.106,1.195,836.51,1244.464,1298.476,1314.316,862.139,4.164,38.154,1108.287,121.597,67830704,,12386304,103995.37,0.9994,1.408,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
7,wasmedge,simd128,0,121,1.103,1.199,833.816,1244.705,1295.075,1315.107,864.389,4.213,37.718,1087.452,119.155,67896240,,12386304,104057.689,0.9994,1.407,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
8,wasmedge,simd128,0,121,1.105,1.194,837.194,1235.568,1291.551,1314.6,862.626,4.138,37.835,1102.222,120.797,68060080,,12386304,104062.843,0.9994,1.407,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
9,wasmedge,simd128,0,121,1.106,1.196,835.808,1233.839,1293.826,1325.961,861.687,4.15,37.915,1080.379,122.481,68010928,,12386304,103909.785,0.9994,1.409,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
1,wasmedge,simd128,1,121,1.931,2.187,457.289,748.438,754.902,759.03,504.118,3.065,10.637,1468.612,129.036,58672008,,6291456,60862.782,0.9992,1.376,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
10,wasmedge,simd128,1,121,1.924,2.164,462.206,747.921,757.447,762.339,506.147,3.082,10.633,1449.514,123.407,58459016,,6291456,61042.213,0.9992,1.372,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
2,wasmedge,simd128,1,121,1.925,2.171,460.585,747.006,757.368,758.349,505.699,3.073,10.638,1448.603,120.141,58737544,,6291456,60942.527,0.9993,1.374,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
3,wasmedge,simd128,1,121,1.933,2.181,458.597,743.854,755.098,755.65,503.485,3.127,10.654,1453.275,120.616,58622896,,6291456,60811.453,0.9993,1.377,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
4,wasmedge,simd128,1,121,1.931,2.183,458.082,744.329,755.473,755.742,504.132,3.071,10.635,1470.798,121.578,58688392,,6291456,60841.631,0.9992,1.376,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
5,wasmedge,simd128,1,121,1.938,2.181,458.568,743.972,752.508,755.127,502.199,3.136,10.634,1449.483,125.578,58491784,,6291456,60671.118,0.9992,1.38,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
6,wasmedge,simd128,1,121,1.93,2.189,456.892,747.682,752.626,756.466,504.243,3.161,10.624,1465.33,119.94,58524552,,6291456,60957.549,0.9992,1.373,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
7,wasmedge,simd128,1,121,1.933,2.177,459.366,744.209,752.392,753.068,503.658,3.092,10.603,1454.908,120.31,58540976,,6291456,60868.744,0.9992,1.375,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
8,wasmedge,simd128,1,121,1.933,2.18,458.67,745.93,752.276,763.094,503.607,3.079,10.593,1449.429,120.744,58672048,,6291456,60715.448,0.9992,1.379,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
9,wasmedge,simd128,1,121,1.934,2.174,459.945,745.864,753.93,755.311,503.344,3.065,10.652,1467.556,127.228,58557320,,6291456,60799.304,0.9992,1.377,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
1,wasmz,scalar,0,121,5.638,5.847,171.027,222.77,234.0,237.861,135.521,4.287,37.553,359.321,48.257,97354712,,12386304,16872.075,0.9975,1.214,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
10,wasmz,scalar,0,121,5.384,5.834,171.406,238.194,460.073,724.345,143.945,4.264,37.515,362.061,50.019,97272792,,12386304,16645.727,0.9977,1.232,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
