variant,build,runtime,rep,case,result,iterations,median_ms,cpu_user_ms,e_share,ipc,instructions,cycles
base,tinywasm next b45a98a,tinywasm,3,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,23.152,1982.74,1.000,2.64,9585647425,3629848669
base,tinywasm next b45a98a,tinywasm,3,GC binary trees (~130K struct.new),-81253392,12,156.159,1830.58,1.000,2.19,7460584887,3410366326
base,tinywasm next b45a98a,tinywasm,3,call_ref twin: call_indirect (200K),-750120562,65,30.263,1960.37,1.000,2.57,9217679888,3586606964
base,tinywasm next b45a98a,tinywasm,4,fib(30),832040,11,166.646,1819.05,1.000,3.18,10597881635,3334530721
base,tinywasm next b45a98a,tinywasm,4,matmul relaxed-simd FMA,48907,444,4.471,1983.16,1.000,3.22,11685548687,3628956918
base,tinywasm next b45a98a,tinywasm,4,audio DSP (1000 frames × 512),761667740,1,1694.729,1686.87,1.000,3.36,10362568430,3086839118
base,tinywasm next b45a98a,tinywasm,4,call_indirect (200K dispatches),-9175573,58,34.736,2004.65,1.000,2.45,8986352210,3669628968
base,tinywasm next b45a98a,tinywasm,4,xmrsplayer (1024-frame buffer),1681653048,79,25.101,1976.90,1.000,2.60,9419071003,3621940759
base,tinywasm next b45a98a,tinywasm,4,vtable_poly4 (200K),-126115384,28,71.028,1982.49,1.000,2.67,9671519979,3628258811
base,tinywasm next b45a98a,tinywasm,4,graphql-validation (AS),5,101,19.573,1995.13,1.000,2.36,8612753986,3651863756
base,tinywasm next b45a98a,tinywasm,4,graphql-validation (Porffor),0,117,16.706,1659.48,1.000,2.10,7586409413,3620205182
base,tinywasm next b45a98a,tinywasm,4,sieve(10000) [scalar build],1229,1525,1.119,1699.27,1.000,3.15,9783572362,3110026195
base,tinywasm next b45a98a,tinywasm,4,crc32(64KB) [scalar build],-1910355869,243,8.141,1964.95,1.000,3.18,11442445395,3596608122
base,tinywasm next b45a98a,tinywasm,4,convolution 256×256 [scalar build],8190685,89,22.389,1983.56,1.000,3.05,11073250532,3633899111
base,tinywasm next b45a98a,tinywasm,4,bulk_memory (memory.copy/fill) [scalar build],8698902,120,16.888,2016.79,1.000,3.28,12126008305,3691620269
base,tinywasm next b45a98a,tinywasm,4,tail-call FSM (65536 return_call),-1841735369,252,7.974,2006.02,1.000,3.11,11402505638,3670888484
base,tinywasm next b45a98a,tinywasm,4,"EH parser, exnref (4096 stmts, 25% throw)",830008030,87,23.189,2007.67,1.000,2.64,9698416165,3676837965
base,tinywasm next b45a98a,tinywasm,4,GC binary trees (~130K struct.new),-81253392,12,156.768,1838.99,1.000,2.18,7460531038,3424659217
base,tinywasm next b45a98a,tinywasm,4,call_ref twin: call_indirect (200K),-750120562,65,30.323,1966.07,1.000,2.56,9217968634,3597825717
base,tinywasm next b45a98a,tinywasm,5,fib(30),832040,11,166.390,1819.98,1.000,3.18,10597576582,3336342825
base,tinywasm next b45a98a,tinywasm,5,matmul relaxed-simd FMA,48907,452,4.495,2028.03,1.000,3.20,11897249075,3717035809
base,tinywasm next b45a98a,tinywasm,5,audio DSP (1000 frames × 512),761667740,1,1694.491,1676.39,1.000,3.36,10362875933,3083396754
