rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
4,pr3,crc32(64KB) [scalar build],-1910355869,284,12769565.267605634,42653939.41549296,6.974471830985915,1.0
5,pr3,crc32(64KB) [scalar build],-1910355869,288,12773266.482638888,42653652.92361111,6.975138888888889,1.0
1,ub,crc32(64KB) [scalar build],-1910355869,287,12838607.209059233,42653332.93379791,7.010731707317073,1.0
2,ub,crc32(64KB) [scalar build],-1910355869,286,12811756.954545455,42652810.57692308,6.999475524475524,1.0
3,ub,crc32(64KB) [scalar build],-1910355869,287,12810860.533101045,42653806.47735192,6.996480836236934,1.0
4,ub,crc32(64KB) [scalar build],-1910355869,288,12813185.440972222,42652955.00694445,6.999375,1.0
5,ub,crc32(64KB) [scalar build],-1910355869,284,12859868.204225352,42654877.697183095,7.021478873239436,1.0
1,base,fib(30),832040,11,303997186.1818182,963732965.1818181,165.61818181818182,0.999
2,base,fib(30),832040,11,304409753.0,964054653.6363636,165.5909090909091,0.999
3,base,fib(30),832040,11,303548892.45454544,963727669.7272727,165.4318181818182,0.999
4,base,fib(30),832040,10,302737164.7,963291554.6,165.35,1.0
5,base,fib(30),832040,11,303822263.0,963756897.2727273,165.5081818181818,0.999
1,pr1,fib(30),832040,12,292512835.6666667,934806719.6666666,159.53916666666666,1.0
2,pr1,fib(30),832040,12,293127912.0,935074746.4166666,159.62416666666667,0.999
3,pr1,fib(30),832040,11,293019105.45454544,935030734.4545455,159.61909090909091,0.999
4,pr1,fib(30),832040,12,293185830.25,935164148.3333334,159.64583333333334,0.999
5,pr1,fib(30),832040,12,293008150.5,935041028.5833334,159.62333333333333,0.999
1,pr2,fib(30),832040,12,282742490.6666667,898905564.1666666,154.09583333333333,0.999
2,pr2,fib(30),832040,12,282930926.3333333,898873210.0,154.07666666666668,0.999
3,pr2,fib(30),832040,12,282902929.0833333,898732870.8333334,154.3025,0.999
4,pr2,fib(30),832040,12,282859931.0833333,898978780.3333334,154.12833333333333,0.999
5,pr2,fib(30),832040,12,283336913.9166667,898995312.9166666,154.34833333333333,0.999
1,pr3,fib(30),832040,12,277530993.75,890835486.25,151.25,0.999
2,pr3,fib(30),832040,12,277522871.5833333,890807942.5833334,151.22916666666666,0.999
3,pr3,fib(30),832040,12,278189085.25,890863439.1666666,151.57,0.999
4,pr3,fib(30),832040,13,277865333.46153843,890905142.0,151.22923076923078,0.999
5,pr3,fib(30),832040,13,277469933.84615386,890775819.0,151.24846153846153,0.999
1,ub,fib(30),832040,12,274895663.0,882743645.6666666,149.79083333333332,0.999
2,ub,fib(30),832040,13,274857039.53846157,882770647.5384616,149.81,0.999
3,ub,fib(30),832040,12,274659238.8333333,882522696.9166666,149.7425,0.999
4,ub,fib(30),832040,12,274946935.0833333,882772332.5,149.81666666666666,0.999
5,ub,fib(30),832040,12,274990679.75,882560350.0,149.905,0.999
1,base,graphql-validation (AS),5,100,36059033.13,85383705.75,19.6918,1.0
